date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:10	747545/747545	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b6819-66f38519-da2dc3b9285b0465;gz%22	https://gov.portal-cac.com/cac/images/fa-brands-400_1.svg	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/fa-brands-400_1.svg	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:11	13276/13276	---M--	200	added ('OK')	font/woff2	etag:%2233dc-66f38519-def53876408c6a40;;;%22	https://gov.portal-cac.com/cac/fonts/fa-regular-400_1.woff2	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-regular-400_1.woff2	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:11	16276/16276	---M--	200	added ('OK')	application/font-woff	etag:%223f94-66f38519-48e5b588ee78ea69;;;%22	https://gov.portal-cac.com/cac/fonts/fa-regular-400_1.woff	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-regular-400_1.woff	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:11	33736/33736	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2283c8-66f38519-852e74a05947f315;gz%22	https://gov.portal-cac.com/cac/fonts/fa-regular-400_1.ttf	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-regular-400_1.ttf	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:11	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	etag:%222354a-66f38519-fcd79752f04556b6;gz%22	https://gov.portal-cac.com/cac/images/fa-regular-400_1.svg	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/fa-regular-400_1.svg	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:11	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-66f38519-ae1992863e6d3975;gz%22	https://gov.portal-cac.com/cac/fonts/fa-solid-900_1.eot	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-solid-900_1.eot	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:12	78196/78196	---M--	200	added ('OK')	font/woff2	etag:%2213174-66f38519-3b5d87df41105c16;;;%22	https://gov.portal-cac.com/cac/fonts/fa-solid-900_1.woff2	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-solid-900_1.woff2	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:12	101652/101652	---M--	200	added ('OK')	application/font-woff	etag:%2218d14-66f38519-8d64c043d75a1d72;;;%22	https://gov.portal-cac.com/cac/fonts/fa-solid-900_1.woff	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-solid-900_1.woff	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:12	202744/202744	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22317f8-66f38519-2acf8f6538efb6f;gz%22	https://gov.portal-cac.com/cac/fonts/fa-solid-900_1.ttf	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/fonts/fa-solid-900_1.ttf	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
14:22:12	918991/918991	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e05cf-66f38519-a96784f9916078b0;gz%22	https://gov.portal-cac.com/cac/images/fa-solid-900_1.svg	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/images/fa-solid-900_1.svg	(from https://gov.portal-cac.com/cac/css/all.min_1.css)
